EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,canopy_height,stem_count,leaf_ligule,stem_id,leaf_length_cm,leaf_width_cm
442,27/05/2015,08:33,eey9,5,,,0,,47.0,3.0
443,27/05/2015,08:34,eey9,,84.0,12,0,2,,
443,27/05/2015,08:34,eey9,1,,,1,,,
443,27/05/2015,08:34,eey9,2,,,1,,,
443,27/05/2015,08:34,eey9,3,,,1,,39.1,2.4
443,27/05/2015,08:34,eey9,4,,,1,,48.5,2.6
461,27/05/2015,08:35,eey9,,58.0,24,0,2,,
461,27/05/2015,08:35,eey9,1,,,1,,,
461,27/05/2015,08:35,eey9,2,,,1,,,
461,27/05/2015,08:35,eey9,3,,,1,,38.2,1.6
461,27/05/2015,08:35,eey9,4,,,0,,42.6,1.7
461,27/05/2015,08:35,eey9,5,,,0,,34.3,1.2
463,27/05/2015,08:37,eey9,,55.0,17,0,2,,
463,27/05/2015,08:37,eey9,1,,,1,,,
463,27/05/2015,08:37,eey9,2,,,1,,,
463,27/05/2015,08:37,eey9,3,,,1,,33.6,1.6
463,27/05/2015,08:37,eey9,4,,,0,,36.9,1.9
463,27/05/2015,08:37,eey9,5,,,0,,28.0,1.2
481,27/05/2015,08:37,eey9,,59.0,30,0,1,,
481,27/05/2015,08:37,eey9,1,,,1,,,
481,27/05/2015,08:38,eey9,2,,,1,,,
481,27/05/2015,08:38,eey9,3,,,1,,,
481,27/05/2015,08:38,eey9,4,,,1,,33.5,2.0
481,27/05/2015,08:38,eey9,5,,,1,,44.2,2.2
482,27/05/2015,08:38,eey9,,49.0,29,0,1,,
482,27/05/2015,08:38,eey9,1,,,1,,,
482,27/05/2015,08:38,eey9,2,,,1,,,
482,27/05/2015,08:38,eey9,3,,,1,,,
482,27/05/2015,08:38,eey9,4,,,1,,40.0,2.0
483,27/05/2015,08:38,eey9,,51.0,22,0,1,,
483,27/05/2015,08:39,eey9,1,,,1,,,
483,27/05/2015,08:39,eey9,2,,,1,,,
483,27/05/2015,08:39,eey9,3,,,1,,26.1,1.6
483,27/05/2015,08:39,eey9,4,,,1,,39.2,1.7
501,27/05/2015,08:39,eey9,,56.0,48,0,1,,
501,27/05/2015,08:39,eey9,1,,,1,,,
501,27/05/2015,08:39,eey9,2,,,1,,,
501,27/05/2015,08:39,eey9,3,,,1,,,
501,27/05/2015,08:39,eey9,4,,,1,,34.2,1.8
501,27/05/2015,08:39,eey9,5,,,0,,31.2,1.7
502,27/05/2015,08:40,eey9,,53.0,34,0,1,,
502,27/05/2015,08:40,eey9,1,,,1,,,
502,27/05/2015,08:40,eey9,2,,,1,,,
502,27/05/2015,08:40,eey9,3,,,1,,,
502,27/05/2015,08:40,eey9,4,,,1,,32.5,1.5
502,27/05/2015,08:40,eey9,5,,,0,,28.0,1.8
503,27/05/2015,08:40,eey9,,67.0,66,0,1,,
503,27/05/2015,08:40,eey9,1,,,1,,,
503,27/05/2015,08:41,eey9,2,,,1,,,
503,27/05/2015,08:41,eey9,3,,,1,,32.3,1.7
503,27/05/2015,08:41,eey9,4,,,0,,42.0,1.7
503,27/05/2015,08:41,eey9,5,,,0,,36.7,1.5
511,27/05/2015,08:41,eey9,,76.5,24,0,2,,
511,27/05/2015,08:41,eey9,1,,,1,,,
511,27/05/2015,08:41,eey9,2,,,1,,15.6,2.6
511,27/05/2015,08:41,eey9,3,,,1,,43.2,3.3
511,27/05/2015,08:41,eey9,4,,,0,,43.2,3.0
512,27/05/2015,08:42,eey9,,81.0,25,0,2,,
512,27/05/2015,08:42,eey9,1,,,1,,,
512,27/05/2015,08:42,eey9,2,,,1,,28.2,2.7
512,27/05/2015,08:42,eey9,3,,,1,,34.0,3.5
512,27/05/2015,08:43,eey9,4,,,0,,52.0,2.8
513,27/05/2015,08:43,eey9,,75.0,24,0,1,,
513,27/05/2015,08:43,eey9,1,,,1,,0.0,0.0
513,27/05/2015,08:43,eey9,2,,,1,,,
513,27/05/2015,08:43,eey9,3,,,1,,,
513,27/05/2015,08:43,eey9,4,,,1,,37.5,2.3
513,27/05/2015,08:43,eey9,5,,,0,,36.7,2.4
531,27/05/2015,08:44,eey9,,59.0,18,0,2,,
531,27/05/2015,08:44,eey9,1,,,1,,7.5,0.6
531,27/05/2015,08:44,eey9,2,,,1,,24.2,1.2
531,27/05/2015,08:44,eey9,3,,,1,,47.0,1.8
531,27/05/2015,08:44,eey9,4,,,0,,45.5,1.8
532,27/05/2015,08:44,eey9,,47.0,11,0,1,,
532,27/05/2015,08:45,eey9,1,,,1,,,
532,27/05/2015,08:45,eey9,2,,,1,,44.5,1.3
532,27/05/2015,08:45,eey9,3,,,1,,56.2,1.4
533,27/05/2015,08:45,eey9,,57.0,19,0,2,,
533,27/05/2015,08:45,eey9,1,,,1,,,
533,27/05/2015,08:45,eey9,2,,,1,,,
533,27/05/2015,08:45,eey9,3,,,1,,38.2,1.8
533,27/05/2015,08:45,eey9,4,,,1,,54.0,2.0
533,27/05/2015,08:45,eey9,5,,,0,,37.0,1.7
561,27/05/2015,08:46,eey9,,53.0,11,0,1,,
561,27/05/2015,08:46,eey9,1,,,1,,,
561,27/05/2015,08:46,eey9,2,,,1,,,
561,27/05/2015,08:46,eey9,3,,,1,,31.2,2.1
561,27/05/2015,08:46,eey9,4,,,1,,47.2,2.8
562,27/05/2015,08:46,eey9,,55.0,16,0,1,,
562,27/05/2015,08:46,eey9,1,,,1,,,
562,27/05/2015,08:46,eey9,2,,,1,,,
562,27/05/2015,08:46,eey9,3,,,1,,16.3,1.2
562,27/05/2015,08:47,eey9,4,,,1,,28.0,1.8
563,27/05/2015,08:47,eey9,,54.0,17,0,1,,
563,27/05/2015,08:47,eey9,1,,,1,,,
563,27/05/2015,08:47,eey9,2,,,1,,24.0,2.3
563,27/05/2015,08:47,eey9,3,,,1,,44.1,2.8
571,27/05/2015,08:51,eey9,,52.0,18,0,3,,
571,27/05/2015,08:51,eey9,1,,,1,,,
571,27/05/2015,08:51,eey9,2,,,1,,24.2,1.0
571,27/05/2015,08:51,eey9,3,,,0,,35.2,1.2
572,27/05/2015,08:52,eey9,,49.0,19,0,3,,
572,27/05/2015,08:52,eey9,1,,,1,,10.0,1.5
572,27/05/2015,08:52,eey9,2,,,0,,25.6,1.7
572,27/05/2015,08:52,eey9,3,,,0,,24.8,1.1
573,27/05/2015,08:52,eey9,,54.0,11,0,3,,
573,27/05/2015,08:52,eey9,1,,,1,,10.8,0.6
573,27/05/2015,08:52,eey9,2,,,1,,29.6,1.3
573,27/05/2015,08:52,eey9,3,,,0,,30.2,1.7
581,27/05/2015,08:53,eey9,,80.0,20,0,1,,
581,27/05/2015,08:53,eey9,1,,,1,,,
581,27/05/2015,08:53,eey9,2,,,1,,,
581,27/05/2015,08:53,eey9,3,,,1,,37.6,2.6
581,27/05/2015,08:53,eey9,4,,,1,,48.6,3.1
581,27/05/2015,08:53,eey9,5,,,0,,46.0,3.2
582,27/05/2015,08:54,eey9,,72.0,11,0,1,,
582,27/05/2015,08:54,eey9,1,,,1,,,
582,27/05/2015,08:54,eey9,2,,,1,,20.0,2.0
582,27/05/2015,08:54,eey9,3,,,1,,35.7,2.6
582,27/05/2015,08:54,eey9,4,,,0,,47.2,2.6
583,27/05/2015,08:54,eey9,,65.0,24,0,1,,
583,27/05/2015,08:54,eey9,1,,,1,,,
583,27/05/2015,08:54,eey9,2,,,1,,,
583,27/05/2015,08:54,eey9,3,,,1,,31.5,2.8
583,27/05/2015,08:54,eey9,4,,,0,,41.9,2.9
611,27/05/2015,08:55,eey9,,47.0,30,0,1,,
611,27/05/2015,08:55,eey9,1,,,1,,,
611,27/05/2015,08:55,eey9,2,,,1,,,
611,27/05/2015,08:55,eey9,3,,,1,,,
611,27/05/2015,08:55,eey9,4,,,1,,33.0,1.8
611,27/05/2015,08:55,eey9,5,,,1,,43.9,1.9
612,27/05/2015,08:55,eey9,,40.0,30,0,1,,
612,27/05/2015,08:55,eey9,1,,,1,,,
612,27/05/2015,08:55,eey9,2,,,1,,22.2,1.6
612,27/05/2015,08:56,eey9,3,,,1,,31.6,1.8
612,27/05/2015,08:56,eey9,4,,,0,,26.1,1.5
613,27/05/2015,08:56,eey9,,45.0,29,0,1,,
613,27/05/2015,08:56,eey9,1,,,1,,,
613,27/05/2015,08:56,eey9,2,,,1,,,
613,27/05/2015,08:56,eey9,3,,,1,,,
613,27/05/2015,08:56,eey9,4,,,0,,25.0,1.5
613,27/05/2015,08:56,eey9,5,,,0,,18.0,1.4
621,27/05/2015,08:57,eey9,,55.0,11,0,1,,
621,27/05/2015,08:57,eey9,1,,,1,,,
621,27/05/2015,08:57,eey9,2,,,1,,,
621,27/05/2015,08:57,eey9,3,,,1,,41.6,2.0
621,27/05/2015,08:57,eey9,4,,,0,,45.2,2.3
622,27/05/2015,08:57,eey9,,54.0,17,0,1,,
622,27/05/2015,08:57,eey9,1,,,1,,,
622,27/05/2015,08:57,eey9,2,,,1,,,
622,27/05/2015,08:57,eey9,3,,,1,,30.0,2.1
622,27/05/2015,08:58,eey9,4,,,1,,42.0,2.4
622,27/05/2015,08:58,eey9,5,,,0,,21.8,2.0
623,27/05/2015,08:58,eey9,,37.0,25,0,1,,
623,27/05/2015,08:58,eey9,1,,,1,,,
623,27/05/2015,08:58,eey9,2,,,1,,,
623,27/05/2015,08:58,eey9,3,,,1,,28.0,2.0
623,27/05/2015,08:58,eey9,4,,,1,,46.3,2.3
623,27/05/2015,08:58,eey9,5,,,0,,34.6,2.2
401,27/05/2015,10:07,eey9,6,,,0,,40.2,3.0
402,27/05/2015,10:09,eey9,6,,,0,,42.0,3.2
392,27/05/2015,10:16,eey9,7,,,0,,28.2,1.1
421,27/05/2015,10:21,eey9,5,,,0,,26.0,1.6
422,27/05/2015,10:23,eey9,6,,,0,,23.0,1.4
423,27/05/2015,10:25,eey9,5,,,0,,32.6,2.8
462,27/05/2015,10:28,eey9,,18.0,2,0,1,,
511,27/05/2015,10:33,eey9,5,,,0,,31.2,2.2
512,27/05/2015,10:36,eey9,5,,,0,,36.2,2.5
513,27/05/2015,10:39,eey9,6,,,0,,29.3,1.4
501,27/05/2015,10:42,eey9,6,,,0,,21.6,0.8
502,27/05/2015,10:46,eey9,6,,,0,,27.2,1.7
502,27/05/2015,10:46,eey9,7,,,0,,22.5,1.0
503,27/05/2015,10:49,eey9,6,,,0,,20.2,0.8
481,27/05/2015,10:52,eey9,6,,,0,,29.2,2.0
481,27/05/2015,10:53,eey9,7,,,0,,25.1,1.6
482,27/05/2015,10:55,eey9,5,,,0,,22.8,1.7
483,27/05/2015,10:56,eey9,5,,,0,,29.0,1.7
561,27/05/2015,10:59,eey9,5,,,0,,37.0,2.1
561,27/05/2015,11:00,eey9,6,,,0,,18.5,0.8
562,27/05/2015,11:03,eey9,5,,,0,,28.0,1.8
563,27/05/2015,11:05,eey9,4,,,0,,35.2,2.2
563,27/05/2015,11:05,eey9,5,,,0,,24.0,1.1
571,27/05/2015,11:08,eey9,4,,,0,,25.6,0.9
572,27/05/2015,11:10,eey9,4,,,0,,,
573,27/05/2015,11:11,eey9,4,,,0,,26.3,1.5
581,27/05/2015,11:14,eey9,6,,,0,,21.1,1.2
582,27/05/2015,11:17,eey9,5,,,0,,33.5,2.4
583,27/05/2015,11:20,eey9,5,,,0,,25.5,2.1
621,27/05/2015,11:23,eey9,5,,,0,,32.8,0.9
623,27/05/2015,11:29,eey9,6,,,0,,24.6,1.2
611,27/05/2015,11:32,eey9,6,,,0,,32.4,1.8
611,27/05/2015,11:32,eey9,7,,,0,,17.5,1.2
612,27/05/2015,11:34,eey9,5,,,0,,17.2,1.2
613,27/05/2015,11:37,eey9,6,,,0,,9.7,0.9
531,27/05/2015,11:41,eey9,5,,,0,,29.0,0.8
532,27/05/2015,11:42,eey9,4,,,0,,29.2,1.2
533,27/05/2015,11:45,eey9,6,,,0,,27.8,1.0
441,27/05/2015,11:48,eey9,6,,,0,,34.1,1.6
441,27/05/2015,11:49,eey9,7,,,0,,20.8,0.8
442,27/05/2015,11:52,eey9,6,,,0,,32.7,1.7
443,27/05/2015,11:55,eey9,5,,,0,,42.0,2.5
361,27/05/2015,11:58,eey9,4,,,0,,34.0,1.8
362,27/05/2015,12:00,eey9,5,,,0,,35.2,2.0
362,27/05/2015,12:00,eey9,6,,,0,,17.2,0.5
363,27/05/2015,12:02,eey9,5,,,0,,31.6,2.0
351,27/05/2015,12:06,eey9,5,,,0,,21.2,0.7
352,27/05/2015,12:09,eey9,5,,,0,,26.7,1.7
353,27/05/2015,12:12,eey9,4,,,0,,18.0,1.4
11,27/05/2015,13:21,eey9,,65.0,28,0,1,,
11,27/05/2015,13:21,eey9,1,,,1,,9.5,0.8
11,27/05/2015,13:22,eey9,2,,,1,,29.0,1.3
11,27/05/2015,13:22,eey9,3,,,1,,46.6,1.4
11,27/05/2015,13:23,eey9,4,,,0,,41.1,1.5
11,27/05/2015,13:23,eey9,5,,,0,,23.6,0.9
12,27/05/2015,13:23,eey9,,62.0,28,0,1,,
12,27/05/2015,13:24,eey9,1,,,1,,2.7,0.7
12,27/05/2015,13:25,eey9,2,,,1,,13.0,1.1
12,27/05/2015,13:25,eey9,3,,,1,,26.2,1.2
12,27/05/2015,13:26,eey9,4,,,1,,45.0,1.8
12,27/05/2015,13:26,eey9,5,,,0,,32.0,1.7
12,27/05/2015,13:26,eey9,6,,,0,,27.0,1.2
13,27/05/2015,13:27,eey9,,63.0,30,0,1,,
13,27/05/2015,13:27,eey9,1,,,1,,8.0,0.8
13,27/05/2015,13:28,eey9,2,,,1,,31.0,1.5
13,27/05/2015,13:28,eey9,3,,,0,,45.0,1.8
13,27/05/2015,13:29,eey9,4,,,0,,29.0,1.2
21,27/05/2015,13:31,eey9,,44.0,9,0,1,,
21,27/05/2015,13:31,eey9,1,,,1,,6.0,1.8
21,27/05/2015,13:32,eey9,2,,,1,,27.3,2.3
21,27/05/2015,13:32,eey9,3,,,1,,43.0,2.5
21,27/05/2015,13:32,eey9,4,,,0,,40.0,2.8
22,27/05/2015,13:33,eey9,,44.0,16,0,1,,
22,27/05/2015,13:34,eey9,1,,,1,,18.5,1.7
22,27/05/2015,13:35,eey9,2,,,1,,37.5,2.0
22,27/05/2015,13:36,eey9,3,,,1,,53.0,2.5
22,27/05/2015,13:36,eey9,4,,,0,,32.0,2.2
23,27/05/2015,13:36,eey9,,39.0,15,0,1,,
23,27/05/2015,13:37,eey9,1,,,1,,30.1,2.0
23,27/05/2015,13:38,eey9,2,,,1,,44.0,2.3
23,27/05/2015,13:38,eey9,3,,,0,,28.2,1.5
31,27/05/2015,13:39,eey9,,55.0,22,0,1,,
31,27/05/2015,13:40,eey9,1,,,1,,8.6,1.0
31,27/05/2015,13:41,eey9,2,,,1,,31.0,1.8
31,27/05/2015,13:42,eey9,3,,,0,,9.0,1.6
31,27/05/2015,13:42,eey9,4,,,0,,10.5,0.6
32,27/05/2015,13:42,eey9,,63.0,29,0,1,,
32,27/05/2015,13:43,eey9,1,,,1,,5.0,0.6
32,27/05/2015,13:44,eey9,2,,,1,,24.8,1.3
32,27/05/2015,13:44,eey9,3,,,1,,50.0,1.8
32,27/05/2015,13:45,eey9,4,,,0,,40.4,1.6
32,27/05/2015,13:45,eey9,5,,,0,,33.0,1.0
33,27/05/2015,13:45,eey9,,58.0,18,0,1,,
33,27/05/2015,13:47,eey9,1,,,1,,12.2,0.9
33,27/05/2015,13:48,eey9,2,,,1,,38.0,1.6
33,27/05/2015,13:49,eey9,3,,,1,,12.5,2.0
33,27/05/2015,13:49,eey9,4,,,0,,34.0,1.6
33,27/05/2015,13:49,eey9,5,,,0,,19.6,0.3
43,27/05/2015,13:50,eey9,,46.0,13,0,1,,
41,27/05/2015,13:50,eey9,,47.0,11,0,1,,
41,27/05/2015,13:51,eey9,1,,,1,,18.2,2.0
41,27/05/2015,13:52,eey9,2,,,1,,36.2,2.5
41,27/05/2015,13:52,eey9,3,,,0,,24.8,2.0
42,27/05/2015,13:53,eey9,,37.0,18,0,1,,
42,27/05/2015,13:53,eey9,1,,,1,,9.0,1.4
42,27/05/2015,13:55,eey9,2,,,1,,22.3,1.8
42,27/05/2015,13:55,eey9,3,,,1,,42.0,2.1
42,27/05/2015,13:55,eey9,4,,,0,,29.0,1.8
43,27/05/2015,13:57,eey9,1,,,1,,11.2,2.0
43,27/05/2015,13:58,eey9,2,,,1,,30.2,2.5
43,27/05/2015,13:58,eey9,3,,,0,,40.2,3.0
43,27/05/2015,13:58,eey9,4,,,0,,38.4,1.9
51,27/05/2015,13:59,eey9,,36.0,14,0,1,,
51,27/05/2015,14:00,eey9,1,,,1,,4.5,0.8
51,27/05/2015,14:01,eey9,2,,,1,,17.0,2.0
51,27/05/2015,14:01,eey9,3,,,1,,38.5,2.6
51,27/05/2015,14:02,eey9,4,,,0,,30.0,2.4
51,27/05/2015,14:02,eey9,5,,,0,,26.7,2.0
52,27/05/2015,14:02,eey9,,42.0,16,0,1,,
52,27/05/2015,14:03,eey9,1,,,1,,17.5,2.0
52,27/05/2015,14:04,eey9,2,,,1,,38.0,2.7
52,27/05/2015,14:04,eey9,3,,,0,,35.0,2.4
52,27/05/2015,14:05,eey9,4,,,0,,27.6,1.3
53,27/05/2015,14:05,eey9,,40.0,24,0,1,,
53,27/05/2015,14:06,eey9,1,,,1,,6.3,1.0
53,27/05/2015,14:06,eey9,2,,,1,,18.0,1.3
53,27/05/2015,14:07,eey9,3,,,0,,32.0,1.8
53,27/05/2015,14:07,eey9,4,,,0,,18.5,1.2
61,27/05/2015,14:07,eey9,,64.0,9,0,1,,
61,27/05/2015,14:08,eey9,1,,,1,,3.0,0.5
61,27/05/2015,14:09,eey9,2,,,1,,22.0,1.5
61,27/05/2015,14:10,eey9,3,,,0,,41.2,1.7
61,27/05/2015,14:10,eey9,4,,,0,,36.5,1.5
61,27/05/2015,14:10,eey9,5,,,0,,22.0,0.7
62,27/05/2015,14:11,eey9,,50.0,6,0,1,,
62,27/05/2015,14:12,eey9,1,,,1,,8.2,1.0
62,27/05/2015,14:12,eey9,2,,,1,,25.3,1.4
62,27/05/2015,14:13,eey9,3,,,0,,46.0,2.0
62,27/05/2015,14:13,eey9,4,,,0,,41.0,1.8
62,27/05/2015,14:13,eey9,5,,,0,,33.0,1.0
63,27/05/2015,14:13,eey9,,60.0,10,0,1,,
63,27/05/2015,14:14,eey9,1,,,1,,14.0,1.2
63,27/05/2015,14:15,eey9,2,,,0,,35.0,1.5
63,27/05/2015,14:15,eey9,3,,,0,,32.5,1.4
27844,28/05/2015,11:29,eey9,,76.0,81,0,2,,
27844,28/05/2015,11:38,eey9,1,,,1,,,
27844,28/05/2015,11:38,eey9,2,,,1,,,
27844,28/05/2015,11:38,eey9,3,,,1,,37.2,1.2
27844,28/05/2015,11:38,eey9,4,,,0,,50.5,1.4
27880,28/05/2015,11:38,eey9,,56.0,56,0,2,,
27880,28/05/2015,11:38,eey9,1,,,1,,,
27880,28/05/2015,11:38,eey9,2,,,1,,,
27880,28/05/2015,11:38,eey9,3,,,1,,33.6,1.5
27880,28/05/2015,11:39,eey9,4,,,1,,48.6,1.7
27829,28/05/2015,11:39,eey9,,38.0,75,0,2,,
27829,28/05/2015,11:39,eey9,1,,,1,,,
27829,28/05/2015,11:39,eey9,2,,,1,,,
27829,28/05/2015,11:39,eey9,3,,,1,,27.8,0.8
27850,28/05/2015,11:40,eey9,,66.0,110,0,2,,
27850,28/05/2015,11:40,eey9,1,,,1,,,
27850,28/05/2015,11:40,eey9,2,,,1,,,
27850,28/05/2015,11:40,eey9,3,,,1,,,
27850,28/05/2015,11:40,eey9,4,,,1,,49.0,1.1
27850,28/05/2015,11:40,eey9,5,,,0,,46.5,1.1
27874,28/05/2015,11:41,eey9,,68.0,72,0,2,,
27874,28/05/2015,11:46,eey9,1,,,1,,,
27874,28/05/2015,11:47,eey9,2,,,1,,,
27874,28/05/2015,11:47,eey9,3,,,1,,39.1,1.5
27874,28/05/2015,11:47,eey9,4,,,0,,52.1,1.5
27908,28/05/2015,11:48,eey9,,57.0,106,0,1,,
27908,28/05/2015,11:48,eey9,1,,,1,,,
27908,28/05/2015,11:48,eey9,2,,,1,,,
27908,28/05/2015,11:48,eey9,3,,,1,,,
27908,28/05/2015,11:48,eey9,4,,,1,,30.3,0.8
27908,28/05/2015,11:48,eey9,5,,,1,,37.3,0.7
27908,28/05/2015,11:48,eey9,6,,,0,,32.5,0.7
27918,28/05/2015,11:48,eey9,,75.0,116,0,1,,
27918,28/05/2015,11:50,eey9,1,,,1,,,
27918,28/05/2015,11:50,eey9,2,,,1,,,
27918,28/05/2015,11:50,eey9,3,,,1,,,
27918,28/05/2015,11:50,eey9,4,,,1,,31.2,1.1
27918,28/05/2015,11:50,eey9,5,,,0,,30.2,0.8
27918,28/05/2015,11:50,eey9,6,,,0,,25.4,0.6
27958,28/05/2015,11:50,eey9,,67.0,84,0,2,,
27958,28/05/2015,11:51,eey9,1,,,1,,,
27958,28/05/2015,11:51,eey9,2,,,1,,,
27958,28/05/2015,11:51,eey9,3,,,1,,45.3,1.3
27958,28/05/2015,11:51,eey9,4,,,0,,34.3,1.2
27963,28/05/2015,11:51,eey9,,64.0,69,0,2,,
27963,28/05/2015,11:51,eey9,1,,,1,,,
27963,28/05/2015,11:51,eey9,2,,,1,,,
27963,28/05/2015,11:51,eey9,3,,,1,,38.9,1.9
27963,28/05/2015,11:52,eey9,4,,,1,,41.6,2.0
27986,28/05/2015,11:52,eey9,,73.0,124,0,2,,
27986,28/05/2015,11:52,eey9,1,,,1,,,
27986,28/05/2015,11:52,eey9,2,,,1,,30.9,1.3
27986,28/05/2015,11:52,eey9,3,,,1,,44.5,1.5
27986,28/05/2015,11:52,eey9,4,,,0,,35.0,1.4
28035,28/05/2015,11:53,eey9,,72.0,88,0,1,,
28035,28/05/2015,11:53,eey9,1,,,1,,,
28035,28/05/2015,11:53,eey9,2,,,1,,,
28035,28/05/2015,11:53,eey9,3,,,1,,43.4,1.4
28035,28/05/2015,11:53,eey9,4,,,0,,55.2,1.5
28040,28/05/2015,11:53,eey9,,60.0,73,0,2,,
28040,28/05/2015,11:54,eey9,1,,,1,,,
